# GJJ 模型关键词索引表 (Model Keywords Index)
# 
# 用途说明：
# 1. 统一管理所有模型的关键词（去扩展名、去量化参数）
# 2. 支持模糊搜索和子目录匹配
# 3. 方便维护和扩展
#
# 字段说明：
# - id: 唯一标识符（小写，使用连字符分隔）
# - category: 模型类别 (unet/clip/vae/lora/controlnet/upscaler/audio/embedding)
# - keywords: 搜索关键词（多个用 | 分隔，已去除扩展名和量化参数）
# - display_name: 显示名称（人类可读）
# - description: 描述信息
# - tags: 标签（多个用 | 分隔）
# - priority: 优先级（0-100，数字越大越优先匹配）
#
# 规范化规则：
# 1. 去除扩展名：.safetensors, .ckpt, .pth, .pt, .bin, .gguf, .onnx
# 2. 去除量化参数：_fp8, _fp16, _bf16, _fp4, _nvfp4, _e4m3fn, _scaled, _turbo 等
# 3. 统一使用小写字母和连字符
#
# 示例：
# 原始文件名: "ltx-2.3-22b-distilled_transformer_only_fp8_input_scaled_v3.safetensors"
# 规范化后: "ltx-2.3-22b-distilled-transformer-only"
# 关键词: "ltx|2.3|22b|distilled|transformer|only"

guozi-fushiruyaowan-000020-comfy	lora	guozi|fushiruyaowan|000020|comfy	Guozi Fushiruyaowan 000020 Comfy	Guozi Fushiruyaowan 000020 Comfy (lora)	lora|loras	80
head-swap-flux-klein-9b-000003500	lora	head|swap|flux|klein|9b	Head Swap Flux Klein 9B 000003500	Head Swap Flux Klein 9B 000003500 (lora)	lora|loras	80
instagirlv2.5-high	lora	instagirlv2.5|high	Instagirlv2.5 High	Instagirlv2.5 High (lora)	lora|loras	80
instagirlv2.5-low	lora	instagirlv2.5|low	Instagirlv2.5 Low	Instagirlv2.5 Low (lora)	lora|loras	80
klein-slider-glow	lora	klein|slider|glow	Klein Slider Glow	Klein Slider Glow (lora)	lora|loras	80
kleinpp-uncutflaccidpenis	lora	kleinpp|uncutflaccidpenis	Kleinpp Uncutflaccidpenis	Kleinpp Uncutflaccidpenis (lora)	lora|loras	80
kook-qwen-2512-鐪熷疄骞绘兂lora	lora	kook|qwen|2512|鐪熷疄骞绘兂lora	Kook Qwen 2512 鐪熷疄骞绘兂Lora	Kook Qwen 2512 鐪熷疄骞绘兂Lora (lora)	lora|loras	80
kook-qwen鏋佽嚧鐪熷疄	lora	kook|qwen鏋佽嚧鐪熷疄	Kook Qwen鏋佽嚧鐪熷疄	Kook Qwen鏋佽嚧鐪熷疄 (lora)	lora|loras	80
lightning-lora	lora	lightning|turbo	Lightning LoRA	加速采样 LoRA	lora|fast|turbo	80
lightx2v-i2v-14b-480p-cfg-step-distill-rank64	lora	lightx2v|i2v|14b|480p|cfg	Lightx2V I2V 14B 480P Cfg Step Distill Rank64	Lightx2V I2V 14B 480P Cfg Step Distill Rank64 (lora)	lora|loras	80
ltx-2-19b-ic-lora-detailer-ba1e0b4544bd	lora	ltx-2-19b-ic-lora-detailer|detailer|ba1e0b4544bd	LTX 2 19B Detailer LoRA	LTX 2 19B 细节增强 LoRA	ltx|lora|detail	85
